movie_title,director_name,num_critic_for_reviews,duration,Actor_1,Actor_2,genre1,genre2,gross,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,num_voted_users,Profit
Batman v Superman: Dawn of JusticeÂ ,Zack Snyder,673,183,Lauren Cohan,Henry Cavill,Action,Adventure,"$330,249,062.00 ",3018,English,USA,PG-13,"$250,000,000.00 ",2016,6.9,371639,"$80,249,062.00"
Superman ReturnsÂ ,Bryan Singer,434,169,Marlon Brando,Kevin Spacey,Action,Adventure,"$200,069,408.00 ",2367,English,USA,PG-13,"$209,000,000.00 ",2006,6.1,240396,"-$8,930,592.00"
Quantum of SolaceÂ ,Marc Forster,403,106,Mathieu Amalric,Giancarlo Giannini,Action,Adventure,"$168,368,427.00 ",1243,English,UK,PG-13,"$200,000,000.00 ",2008,6.7,330784,"-$31,631,573.00"
Pirates of the Caribbean: Dead Man's ChestÂ ,Gore Verbinski,313,151,Orlando Bloom,Johnny Depp,Action,Adventure,"$423,032,628.00 ",1832,English,USA,PG-13,"$225,000,000.00 ",2006,8.8,522040,"$198,032,628.00"
The Lone RangerÂ ,Gore Verbinski,450,150,Ruth Wilson,Johnny Depp,Action,Adventure,"$89,289,910.00 ",711,English,USA,PG-13,"$215,000,000.00 ",2013,6.5,181792,"-$125,710,090.00"
Man of SteelÂ ,Zack Snyder,733,143,Christopher Meloni,Henry Cavill,Action,Adventure,"$291,021,565.00 ",2536,English,USA,PG-13,"$225,000,000.00 ",2013,8.9,548573,"$66,021,565.00"
The Chronicles of Narnia: Prince CaspianÂ ,Andrew Adamson,258,150,Pierfrancesco Favino,Peter Dinklage,Action,Adventure,"$141,614,023.00 ",438,English,USA,PG,"$225,000,000.00 ",2008,6.6,149922,"-$83,385,977.00"
The AvengersÂ ,Joss Whedon,703,173,Robert Downey Jr.,Chris Hemsworth,Action,Adventure,"$623,279,547.00 ",1722,English,USA,PG-13,"$220,000,000.00 ",2012,8.9,995415,"$403,279,547.00"
Pirates of the Caribbean: On Stranger TidesÂ ,Rob Marshall,448,136,Sam Claflin,Johnny Depp,Action,Adventure,"$241,063,875.00 ",484,English,USA,PG-13,"$250,000,000.00 ",2011,6.7,370704,"-$8,936,125.00"
Men in Black 3Â ,Barry Sonnenfeld,451,106,Michael Stuhlbarg,Will Smith,Action,Adventure,"$179,020,854.00 ",341,English,USA,PG-13,"$225,000,000.00 ",2012,6.8,268154,"-$45,979,146.00"
The Hobbit: The Battle of the Five ArmiesÂ ,Peter Jackson,422,164,Adam Brown,Aidan Turner,Adventure,Fantasy,"$11,255,108,370.00 ",802,English,New Zealand,PG-13,"$250,000,000.00 ",2014,8.5,354228,"$11,005,108,370.00"
The Amazing Spider-ManÂ ,Marc Webb,599,153,Andrew Garfield,Emma Stone,Action,Adventure,"$262,030,663.00 ",1225,English,USA,PG-13,"$230,000,000.00 ",2012,8.7,451803,"$32,030,663.00"
Robin HoodÂ ,Ridley Scott,343,156,William Hurt,Mark Addy,Action,Adventure,"$105,219,735.00 ",546,English,USA,PG-13,"$200,000,000.00 ",2010,6.7,211765,"-$94,780,265.00"
The Hobbit: The Desolation of SmaugÂ ,Peter Jackson,509,186,Adam Brown,Aidan Turner,Adventure,Fantasy,"$1,258,355,354.00 ",951,English,USA,PG-13,"$225,000,000.00 ",2013,9.5,483540,"$1,033,355,354.00"
The Golden CompassÂ ,Chris Weitz,251,113,Eva Green,Christopher Lee,Adventure,Family,"$70,083,519.00 ",666,English,USA,PG-13,"$180,000,000.00 ",2007,6.1,149019,"-$109,916,481.00"
King KongÂ ,Peter Jackson,446,201,Thomas Kretschmann,Naomi Watts,Action,Adventure,"$218,051,260.00 ",2618,English,New Zealand,PG-13,"$207,000,000.00 ",2005,7.2,316018,"$11,051,260.00"
TitanicÂ ,James Cameron,315,194,Kate Winslet,Leonardo DiCaprio,Drama,Romance,"$658,672,302.00 ",2528,English,USA,PG-13,"$200,000,000.00 ",1997,8.7,793059,"$458,672,302.00"
Captain America: Civil WarÂ ,Anthony Russo,516,147,Scarlett Johansson,Robert Downey Jr.,Action,Adventure,"$407,197,282.00 ",1022,English,USA,PG-13,"$250,000,000.00 ",2016,8.2,272670,"$157,197,282.00"
BattleshipÂ ,Peter Berg,377,131,Alexander SkarsgÃ¥rd,Liam Neeson,Action,Adventure,"$22,265,173,160.00 ",751,English,USA,PG-13,"$209,000,000.00 ",2012,5.9,202382,"$22,056,173,160.00"
Jurassic WorldÂ ,Colin Trevorrow,644,124,Judy Greer,Bryce Dallas Howard,Action,Adventure,"$652,177,271.00 ",1290,English,USA,PG-13,"$150,000,000.00 ",2015,8.5,418214,"$502,177,271.00"
SkyfallÂ ,Sam Mendes,750,143,Helen McCrory,Albert Finney,Action,Adventure,"$304,360,277.00 ",1498,English,UK,PG-13,"$200,000,000.00 ",2012,8.2,522030,"$104,360,277.00"
Spider-Man 2Â ,Sam Raimi,300,135,James Franco,J.K. Simmons,Action,Adventure,"$373,377,893.00 ",1303,English,USA,PG-13,"$200,000,000.00 ",2004,8.6,411164,"$173,377,893.00"
Iron Man 3Â ,Shane Black,608,195,Jon Favreau,Robert Downey Jr.,Action,Adventure,"$408,992,272.00 ",1187,English,USA,PG-13,"$200,000,000.00 ",2013,8.7,557489,"$208,992,272.00"
Alice in WonderlandÂ ,Tim Burton,451,108,Alan Rickman,Johnny Depp,Adventure,Family,"$334,185,206.00 ",736,English,USA,PG,"$200,000,000.00 ",2010,8.2,306320,"$134,185,206.00"
X-Men: The Last StandÂ ,Brett Ratner,334,104,Kelsey Grammer,Hugh Jackman,Action,Adventure,"$234,360,014.00 ",1912,English,Canada,PG-13,"$210,000,000.00 ",2006,8.2,383427,"$24,360,014.00"
Monsters UniversityÂ ,Dan Scanlon,376,104,Tyler Labine,Steve Buscemi,Adventure,Animation,"$268,488,329.00 ",265,English,USA,G,"$200,000,000.00 ",2013,8.2,235025,"$68,488,329.00"
Transformers: Revenge of the FallenÂ ,Michael Bay,366,150,Kevin Dunn,Glenn Morshower,Action,Adventure,"$402,076,689.00 ",1439,English,USA,PG-13,"$200,000,000.00 ",2009,8.2,323207,"$202,076,689.00"
Transformers: Age of ExtinctionÂ ,Michael Bay,378,165,Sophia Myles,Bingbing Li,Action,Adventure,"$245,428,137.00 ",918,English,USA,PG-13,"$210,000,000.00 ",2014,8.2,242420,"$35,428,137.00"
Oz the Great and PowerfulÂ ,Sam Raimi,525,130,Mila Kunis,Tim Holmes,Adventure,Family,"$234,903,076.00 ",511,English,USA,PG,"$215,000,000.00 ",2013,8.2,175409,"$19,903,076.00"
The Amazing Spider-Man 2Â ,Marc Webb,495,142,Andrew Garfield,Emma Stone,Action,Adventure,"$202,853,933.00 ",1067,English,USA,PG-13,"$200,000,000.00 ",2014,8.2,321227,"$2,853,933.00"
TRON: LegacyÂ ,Joseph Kosinski,469,125,Olivia Wilde,Jeff Bridges,Action,Adventure,"$172,051,787.00 ",665,English,USA,PG,"$170,000,000.00 ",2010,8.2,264183,"$2,051,787.00"
Cars 2Â ,John Lasseter,304,106,Thomas Kretschmann,Joe Mantegna,Adventure,Animation,"$191,450,875.00 ",283,English,USA,G,"$200,000,000.00 ",2011,8.2,101178,"-$8,549,125.00"
Green LanternÂ ,Martin Campbell,436,123,Temuera Morrison,Ryan Reynolds,Action,Adventure,"$116,593,191.00 ",550,English,USA,PG-13,"$200,000,000.00 ",2011,8.2,223393,"-$83,406,809.00"
Toy Story 3Â ,Lee Unkrich,453,103,John Ratzenberger,Tom Hanks,Adventure,Animation,"$414,984,497.00 ",733,English,USA,G,"$200,000,000.00 ",2010,8.2,544884,"$214,984,497.00"
Terminator SalvationÂ ,McG,422,118,Bryce Dallas Howard,Christian Bale,Action,Adventure,"$125,320,003.00 ",974,English,USA,PG-13,"$200,000,000.00 ",2009,8.2,286095,"-$74,679,997.00"
Furious 7Â ,James Wan,424,140,Paul Walker,Jason Statham,Action,Crime,"$350,034,110.00 ",657,English,USA,PG-13,"$190,000,000.00 ",2015,8.2,278232,"$160,034,110.00"
World War ZÂ ,Marc Forster,654,123,Brad Pitt,Peter Capaldi,Action,Adventure,"$202,351,611.00 ",995,English,USA,PG-13,"$190,000,000.00 ",2013,8.2,465019,"$12,351,611.00"
X-Men: Days of Future PastÂ ,Bryan Singer,539,149,Peter Dinklage,Jennifer Lawrence,Action,Adventure,"$233,914,986.00 ",752,English,USA,PG-13,"$200,000,000.00 ",2014,8.2,514125,"$33,914,986.00"
Star Trek Into DarknessÂ ,J.J. Abrams,590,132,Bruce Greenwood,Benedict Cumberbatch,Action,Adventure,"$228,756,232.00 ",1171,English,USA,PG-13,"$190,000,000.00 ",2013,8.2,395573,"$38,756,232.00"
Jack the Giant SlayerÂ ,Bryan Singer,338,114,Ewen Bremner,Eddie Marsan,Adventure,Fantasy,"$11,165,171,860.00 ",205,English,USA,PG-13,"$195,000,000.00 ",2013,8.9,106416,"$10,970,171,860.00"
The Great GatsbyÂ ,Baz Luhrmann,490,143,Elizabeth Debicki,Leonardo DiCaprio,Drama,Romance,"$144,812,796.00 ",753,English,Australia,PG-13,"$105,000,000.00 ",2013,8.2,362912,"$39,812,796.00"
Prince of Persia: The Sands of TimeÂ ,Mike Newell,306,116,Richard Coyle,Jake Gyllenhaal,Action,Adventure,"$90,755,643.00 ",453,English,USA,PG-13,"$200,000,000.00 ",2010,8.2,222403,"-$109,244,357.00"
Pacific RimÂ ,Guillermo del Toro,575,131,Clifton Collins Jr.,Charlie Hunnam,Action,Adventure,"$101,785,482.00 ",1106,English,USA,PG-13,"$190,000,000.00 ",2013,8.2,381148,"-$88,214,518.00"
Transformers: Dark of the MoonÂ ,Michael Bay,428,154,Lester Speight,Glenn Morshower,Action,Adventure,"$352,358,779.00 ",899,English,USA,PG-13,"$195,000,000.00 ",2011,8.2,326180,"$157,358,779.00"
Indiana Jones and the Kingdom of the Crystal SkullÂ ,Steven Spielberg,470,122,Ray Winstone,Harrison Ford,Action,Adventure,"$317,011,114.00 ",2054,English,USA,PG-13,"$185,000,000.00 ",2008,8.2,333847,"$132,011,114.00"
The Good DinosaurÂ ,Peter Sohn,298,93,Jack McGraw,A.J. Buckley,Adventure,Animation,"$123,070,338.00 ",345,English,USA,PG,"$20,000,000.00 ",2015,8.2,62836,"$103,070,338.00"
BraveÂ ,Mark Andrews,488,93,John Ratzenberger,Kelly Macdonald,Adventure,Animation,"$237,282,182.00 ",428,English,USA,PG,"$185,000,000.00 ",2012,8.2,273556,"$52,282,182.00"
Star Trek BeyondÂ ,Justin Lin,322,122,Melissa Roxburgh,Sofia Boutella,Action,Adventure,"$130,468,626.00 ",432,English,USA,PG-13,"$185,000,000.00 ",2016,8.2,53607,"-$54,531,374.00"
WALLÂ·EÂ ,Andrew Stanton,421,98,Fred Willard,John Ratzenberger,Adventure,Animation,"$223,806,889.00 ",1043,English,USA,G,"$180,000,000.00 ",2008,8.2,718837,"$43,806,889.00"
Rush Hour 3Â ,Brett Ratner,162,91,Dana Ivey,Tzi Ma,Action,Comedy,"$140,080,850.00 ",221,English,USA,PG-13,"$140,000,000.00 ",2007,8.2,121084,"$80,850.00"
2012Â ,Roland Emmerich,367,158,Liam James,Oliver Platt,Action,Adventure,"$166,112,167.00 ",1055,English,USA,PG-13,"$200,000,000.00 ",2009,8.2,283418,"-$33,887,833.00"
A Christmas CarolÂ ,Robert Zemeckis,240,96,Colin Firth,Robin Wright,Animation,Drama,"$137,850,096.00 ",249,English,USA,PG,"$200,000,000.00 ",2009,8.2,72809,"-$62,149,904.00"
Jupiter AscendingÂ ,Lana Wachowski,384,127,Mila Kunis,Channing Tatum,Action,Adventure,"$47,375,327.00 ",720,English,USA,PG-13,"$176,000,000.00 ",2015,7.3,139593,"-$128,624,673.00"
The Legend of TarzanÂ ,David Yates,248,110,Alexander SkarsgÃ¥rd,Christoph Waltz,Action,Adventure,"$124,051,759.00 ",239,English,USA,PG-13,"$180,000,000.00 ",2016,8.2,42372,"-$55,948,241.00"
"The Chronicles of Narnia: The Lion, the Witch and the WardrobeÂ ",Andrew Adamson,284,150,Kiran Shah,Jim Broadbent,Adventure,Family,"$291,709,845.00 ",1463,English,USA,PG,"$180,000,000.00 ",2005,8.2,286506,"$111,709,845.00"
X-Men: ApocalypseÂ ,Bryan Singer,396,144,Michael Fassbender,Jennifer Lawrence,Action,Adventure,"$154,985,087.00 ",622,English,USA,PG-13,"$178,000,000.00 ",2016,7.1,148379,"-$23,014,913.00"
The Dark KnightÂ ,Christopher Nolan,645,152,Heath Ledger,Christian Bale,Action,Crime,"$533,316,061.00 ",4667,English,USA,PG-13,"$185,000,000.00 ",2008,8.2,1676169,"$348,316,061.00"
UpÂ ,Pete Docter,408,96,Delroy Lindo,John Ratzenberger,Adventure,Animation,"$292,979,556.00 ",704,English,USA,PG,"$175,000,000.00 ",2009,8.2,665575,"$117,979,556.00"
Monsters vs. AliensÂ ,Rob Letterman,219,94,Rainn Wilson,Amy Poehler,Action,Adventure,"$198,332,128.00 ",187,English,USA,PG,"$175,000,000.00 ",2009,8.2,114553,"$23,332,128.00"
Iron ManÂ ,Jon Favreau,486,126,Jeff Bridges,Robert Downey Jr.,Action,Adventure,"$318,298,180.00 ",1055,English,USA,PG-13,"$140,000,000.00 ",2008,8.2,696338,"$178,298,180.00"
HugoÂ ,Martin Scorsese,682,126,Christopher Lee,ChloÃ« Grace Moretz,Adventure,Drama,"$73,820,094.00 ",678,English,USA,PG,"$170,000,000.00 ",2011,7.3,245333,"-$96,179,906.00"
Wild Wild WestÂ ,Barry Sonnenfeld,85,106,Salma Hayek,Will Smith,Action,Comedy,"$113,745,408.00 ",648,English,USA,PG-13,"$170,000,000.00 ",1999,6.6,129601,"-$56,254,592.00"
The Mummy: Tomb of the Dragon EmperorÂ ,Rob Cohen,264,112,Brendan Fraser,Jet Li,Action,Adventure,"$102,176,165.00 ",501,English,USA,PG-13,"$145,000,000.00 ",2008,6.7,117927,"-$42,823,835.00"
Suicide SquadÂ ,David Ayer,418,123,Robin Atkin Downes,Will Smith,Action,Adventure,"$161,087,183.00 ",971,English,USA,PG-13,"$175,000,000.00 ",2016,6.9,118992,"-$13,912,817.00"
Evan AlmightyÂ ,Tom Shadyac,186,96,Morgan Freeman,Jimmy Bennett,Comedy,Family,"$100,289,690.00 ",257,English,USA,PG,"$175,000,000.00 ",2007,6.7,115099,"-$74,710,310.00"
Edge of TomorrowÂ ,Doug Liman,585,113,Lara Pulver,Tom Cruise,Action,Adventure,"$100,189,501.00 ",741,English,USA,PG-13,"$178,000,000.00 ",2014,6.8,431620,"-$77,810,499.00"
WaterworldÂ ,Kevin Reynolds,91,176,Rick Aviles,Jeanne Tripplehorn,Action,Adventure,"$88,246,220.00 ",309,English,USA,PG-13,"$175,000,000.00 ",1995,6.8,144337,"-$86,753,780.00"
G.I. Joe: The Rise of CobraÂ ,Stephen Sommers,250,118,Dennis Quaid,Joseph Gordon-Levitt,Action,Adventure,"$150,167,630.00 ",534,English,USA,PG-13,"$175,000,000.00 ",2009,5.8,174578,"-$24,832,370.00"
Inside OutÂ ,Pete Docter,536,95,Mindy Kaling,Amy Poehler,Adventure,Animation,"$356,454,367.00 ",773,English,USA,PG,"$175,000,000.00 ",2015,8.3,345198,"$181,454,367.00"
The Jungle BookÂ ,Jon Favreau,370,106,Bill Murray,Scarlett Johansson,Adventure,Drama,"$362,645,141.00 ",398,English,UK,PG,"$175,000,000.00 ",2016,8,106072,"$187,645,141.00"
Iron Man 2Â ,Jon Favreau,453,124,Scarlett Johansson,Robert Downey Jr.,Action,Adventure,"$312,057,433.00 ",723,English,USA,PG-13,"$200,000,000.00 ",2010,7,522371,"$112,057,433.00"
Snow White and the HuntsmanÂ ,Rupert Sanders,416,132,Kristen Stewart,Chris Hemsworth,Action,Adventure,"$155,111,815.00 ",710,English,USA,PG-13,"$170,000,000.00 ",2012,6.1,228554,"-$14,888,185.00"
MaleficentÂ ,Robert Stromberg,401,97,Sharlto Copley,Angelina Jolie Pitt,Action,Adventure,"$241,407,328.00 ",634,English,USA,PG,"$180,000,000.00 ",2014,7.6,252257,"$61,407,328.00"
Dawn of the Planet of the ApesÂ ,Matt Reeves,521,130,Judy Greer,Gary Oldman,Action,Adventure,"$208,543,795.00 ",620,English,USA,PG-13,"$170,000,000.00 ",2014,7.6,317542,"$38,543,795.00"
The LoversÂ ,Roland JoffÃ©,10,109,Alice Englert,Tamsin Egerton,Action,Adventure,"$25,517,500.00 ",15,English,Belgium,R,"$20,000,000.00 ",2015,6.9,2138,"$5,517,500.00"
47 RoninÂ ,Carl Rinsch,218,128,Cary-Hiroyuki Tagawa,Keanu Reeves,Action,Adventure,"$38,297,305.00 ",324,English,USA,PG-13,"$175,000,000.00 ",2013,6.3,116994,"-$136,702,695.00"
Captain America: The Winter SoldierÂ ,Anthony Russo,576,136,Chris Evans,Scarlett Johansson,Action,Adventure,"$259,746,958.00 ",742,English,USA,PG-13,"$170,000,000.00 ",2014,7.8,496749,"$89,746,958.00"
Shrek Forever AfterÂ ,Mike Mitchell,226,93,Kathy Griffin,Jon Hamm,Adventure,Animation,"$238,371,987.00 ",173,English,USA,PG,"$165,000,000.00 ",2010,6.4,138661,"$73,371,987.00"
TomorrowlandÂ ,Brad Bird,443,130,Chris Bauer,Judy Greer,Action,Adventure,"$93,417,865.00 ",497,English,USA,PG,"$190,000,000.00 ",2015,6.5,128306,"-$96,582,135.00"
Big Hero 6Â ,Don Hall,384,102,Daniel Henney,Damon Wayans Jr.,Action,Adventure,"$222,487,711.00 ",433,English,USA,PG,"$165,000,000.00 ",2014,7.9,279093,"$57,487,711.00"
Wreck-It RalphÂ ,Rich Moore,377,101,Sarah Silverman,Jack McBrayer,Adventure,Animation,"$189,412,677.00 ",345,English,USA,PG,"$165,000,000.00 ",2012,7.8,272534,"$24,412,677.00"
The Polar ExpressÂ ,Robert Zemeckis,188,100,Eddie Deezen,Tom Hanks,Adventure,Animation,"$665,426.00 ",444,English,USA,G,"$165,000,000.00 ",2004,6.6,120798,"-$164,334,574.00"
Independence Day: ResurgenceÂ ,Roland Emmerich,286,120,Sela Ward,Vivica A. Fox,Action,Adventure,"$102,315,545.00 ",520,English,USA,PG-13,"$165,000,000.00 ",2016,5.5,58137,"-$62,684,455.00"
How to Train Your DragonÂ ,Dean DeBlois,288,98,America Ferrera,Gerard Butler,Adventure,Animation,"$217,387,997.00 ",492,English,USA,PG,"$165,000,000.00 ",2010,8.2,485430,"$52,387,997.00"
Terminator 3: Rise of the MachinesÂ ,Jonathan Mostow,280,109,M.C. Gainey,Nick Stahl,Action,Sci-Fi,"$150,350,192.00 ",1676,English,USA,R,"$200,000,000.00 ",2003,6.4,305340,"-$49,649,808.00"
Guardians of the GalaxyÂ ,James Gunn,653,121,Vin Diesel,Bradley Cooper,Action,Adventure,"$333,130,696.00 ",1097,English,USA,PG-13,"$170,000,000.00 ",2014,8.1,682155,"$163,130,696.00"
InterstellarÂ ,Christopher Nolan,712,169,Anne Hathaway,Matthew McConaughey,Adventure,Drama,"$187,991,439.00 ",2725,English,USA,PG-13,"$165,000,000.00 ",2014,8.6,928227,"$22,991,439.00"
InceptionÂ ,Christopher Nolan,642,148,Tom Hardy,Leonardo DiCaprio,Action,Adventure,"$292,568,851.00 ",2803,English,USA,PG-13,"$160,000,000.00 ",2010,8.8,1468200,"$132,568,851.00"
Godzilla ResurgenceÂ ,Hideaki Anno,1,120,Shin'ya Tsukamoto,Mark Chinnery,Action,Adventure,"$25,517,500.00 ",13,Japanese,Japan,Unknown,"$20,000,000.00 ",2016,8.2,374,"$5,517,500.00"
The Hobbit: An Unexpected JourneyÂ ,Peter Jackson,645,182,Adam Brown,Aidan Turner,Adventure,Fantasy,"$303,001,229.00 ",1367,English,USA,PG-13,"$180,000,000.00 ",2012,8.8,637246,"$123,001,229.00"
The Fast and the FuriousÂ ,Rob Cohen,187,106,Vin Diesel,Paul Walker,Action,Crime,"$144,512,310.00 ",988,English,USA,PG-13,"$38,000,000.00 ",2001,7.9,272223,"$106,512,310.00"
The Curious Case of Benjamin ButtonÂ ,David Fincher,362,166,Jason Flemyng,Brad Pitt,Drama,Fantasy,"$127,490,802.00 ",822,English,USA,PG-13,"$150,000,000.00 ",2008,7.8,459346,"-$22,509,198.00"
X-Men: First ClassÂ ,Matthew Vaughn,500,132,Michael Fassbender,Jennifer Lawrence,Action,Adventure,"$146,405,371.00 ",698,English,USA,PG-13,"$160,000,000.00 ",2011,7.8,518537,"-$13,594,629.00"
The Hunger Games: Mockingjay - Part 2Â ,Francis Lawrence,389,137,Philip Seymour Hoffman,Jennifer Lawrence,Adventure,Sci-Fi,"$281,666,058.00 ",383,English,USA,PG-13,"$160,000,000.00 ",2015,7,166137,"$121,666,058.00"
The Sorcerer's ApprenticeÂ ,Jon Turteltaub,235,109,Omar Benson Miller,Nicolas Cage,Action,Adventure,"$63,143,812.00 ",238,English,USA,PG,"$150,000,000.00 ",2010,6.1,124185,"-$86,856,188.00"
PoseidonÂ ,Wolfgang Petersen,231,98,Mike Vogel,Jimmy Bennett,Action,Adventure,"$60,655,503.00 ",629,English,USA,PG-13,"$160,000,000.00 ",2006,5.6,82380,"-$99,344,497.00"
Alice Through the Looking GlassÂ ,James Bobin,218,113,Alan Rickman,Johnny Depp,Adventure,Family,"$76,846,624.00 ",131,English,USA,PG,"$170,000,000.00 ",2016,6.4,21352,"-$93,153,376.00"
Shrek the ThirdÂ ,Chris Miller,227,93,Eric Idle,Justin Timberlake,Adventure,Animation,"$320,706,665.00 ",326,English,USA,PG,"$160,000,000.00 ",2007,6.1,211971,"$160,706,665.00"
WarcraftÂ ,Duncan Jones,275,123,Callum Rennie,Dominic Cooper,Action,Adventure,"$46,978,995.00 ",781,English,USA,PG-13,"$160,000,000.00 ",2016,7.3,111609,"-$113,021,005.00"
Terminator GenisysÂ ,Alan Taylor,474,126,Emilia Clarke,J.K. Simmons,Action,Adventure,"$89,732,035.00 ",867,English,USA,PG-13,"$155,000,000.00 ",2015,6.6,188457,"-$65,267,965.00"
The Chronicles of Narnia: The Voyage of the Dawn TreaderÂ ,Michael Apted,228,113,Shane Rangi,Bruce Spence,Adventure,Family,"$104,383,624.00 ",227,English,USA,PG,"$155,000,000.00 ",2010,6.3,106446,"-$50,616,376.00"
Pearl HarborÂ ,Michael Bay,191,184,Jaime King,Jennifer Garner,Action,Drama,"$198,539,855.00 ",1999,English,USA,PG-13,"$140,000,000.00 ",2001,6.1,254111,"$58,539,855.00"
TransformersÂ ,Michael Bay,396,144,Michael O'Neill,Zack Ward,Action,Adventure,"$318,759,914.00 ",1782,English,USA,PG-13,"$150,000,000.00 ",2007,7.1,513158,"$168,759,914.00"
AlexanderÂ ,Oliver Stone,248,206,Angelina Jolie Pitt,Anthony Hopkins,Action,Adventure,"$34,293,771.00 ",1390,English,Germany,R,"$155,000,000.00 ",2004,5.5,138863,"-$120,706,229.00"
Harry Potter and the Order of the PhoenixÂ ,David Yates,329,138,Daniel Radcliffe,Robert Pattinson,Adventure,Family,"$292,000,866.00 ",1108,English,UK,PG-13,"$150,000,000.00 ",2007,8.3,355137,"$142,000,866.00"
Harry Potter and the Goblet of FireÂ ,Mike Newell,295,157,Daniel Radcliffe,Robert Pattinson,Adventure,Family,"$289,994,397.00 ",1896,English,UK,PG-13,"$150,000,000.00 ",2005,7.6,385670,"$139,994,397.00"
HancockÂ ,Peter Berg,318,102,Charlize Theron,Will Smith,Action,Drama,"$227,946,274.00 ",590,English,USA,PG-13,"$150,000,000.00 ",2008,6.9,343648,"$77,946,274.00"
I Am LegendÂ ,Francis Lawrence,323,104,Alice Braga,Will Smith,Drama,Horror,"$256,386,216.00 ",1413,English,USA,PG-13,"$150,000,000.00 ",2007,7.2,530870,"$106,386,216.00"
Charlie and the Chocolate FactoryÂ ,Tim Burton,276,115,Christopher Lee,Johnny Depp,Adventure,Comedy,"$206,456,431.00 ",1361,English,USA,PG,"$150,000,000.00 ",2005,6.7,320284,"$56,456,431.00"
RatatouilleÂ ,Brad Bird,318,111,John Ratzenberger,Janeane Garofalo,Animation,Comedy,"$206,435,493.00 ",626,English,USA,G,"$150,000,000.00 ",2007,8,473887,"$56,435,493.00"
Batman BeginsÂ ,Christopher Nolan,478,128,Liam Neeson,Christian Bale,Action,Adventure,"$205,343,774.00 ",2685,English,USA,PG-13,"$150,000,000.00 ",2005,8.3,980946,"$55,343,774.00"
Madagascar: Escape 2 AfricaÂ ,Eric Darnell,167,89,Jada Pinkett Smith,Bernie Mac,Action,Adventure,"$179,982,968.00 ",119,English,USA,PG,"$150,000,000.00 ",2008,6.7,146019,"$29,982,968.00"
Night at the Museum: Battle of the SmithsonianÂ ,Shawn Levy,185,105,Rami Malek,Robin Williams,Adventure,Comedy,"$177,243,721.00 ",209,English,USA,PG,"$150,000,000.00 ",2009,5.9,130272,"$27,243,721.00"
X-Men Origins: WolverineÂ ,Gavin Hood,350,119,Ryan Reynolds,Hugh Jackman,Action,Adventure,"$179,883,016.00 ",641,English,USA,PG-13,"$150,000,000.00 ",2009,6.7,361924,"$29,883,016.00"
The Matrix RevolutionsÂ ,Lana Wachowski,245,129,Collin Chou,Essie Davis,Action,Sci-Fi,"$139,259,759.00 ",2121,English,Australia,R,"$150,000,000.00 ",2003,6.7,364948,"-$10,740,241.00"
